"","variables","factor","loading"
"1","famhx_ss_fath_prob_alc_p","1",0.0262363774446103
"2","famhx_ss_fath_prob_dg_p","1",0.062568925743318
"3","asr_scr_anxdisord_r","1",-0.00282409029050701
"4","asr_scr_somaticpr_r","1",0.0225427072643751
"5","asr_scr_depress_r","1",0.0234442230598938
"6","asr_scr_avoidant_r","1",0.0356323574897905
"7","asr_scr_adhd_r","1",0.0511710613858745
"8","asr_scr_antisocial_r","1",0.0338266226156908
"9","demo_prnt_ed_v2","1",0.0430135733815002
"10","demo_comb_income_v2","1",0.0371763155067933
"11","crpbi_parent1_y","1",0.629104124367032
"12","crpbi_caregiver12_y","1",0.679387425904817
"13","crpbi_parent2_y","1",0.596969935141682
"14","crpbi_caregiver13_y","1",0.651234793253139
"15","crpbi_parent3_y","1",0.66473150920795
"16","crpbi_caregiver14_y","1",0.73500246088536
"17","crpbi_parent4_y","1",0.688698758998801
"18","crpbi_caregiver15_y","1",0.737295225086036
"19","crpbi_parent5_y","1",0.566250730826758
"20","crpbi_caregiver16_y","1",0.587066106280385
"21","fes_youth_q1","1",0.215477076040757
"22","fes_youth_q2","1",0.152538280247626
"23","fes_youth_q3","1",0.102383545735924
"24","fes_youth_q4","1",0.177545476549141
"25","fes_youth_q5","1",0.212688913197511
"26","fes_youth_q6","1",0.145505517833514
"27","fes_youth_q7","1",0.348216912618839
"28","fes_youth_q8","1",0.107618395609858
"29","fes_youth_q9","1",0.212076182263228
"30","fam_enviro1_p","1",0.00650501500554578
"31","fam_enviro2r_p","1",0.0266559937668055
"32","fam_enviro3_p","1",-0.0112294560136965
"33","fam_enviro4r_p","1",0.0214926076763625
"34","fam_enviro5_p","1",0.0105302796503955
"35","fam_enviro6_p","1",-0.0449598776160559
"36","fam_enviro7r_p","1",0.0470069969616954
"37","fam_enviro8_p","1",0.00177023347507342
"38","fam_enviro9r_p","1",0.0672393611142007
"39","ksads_ptsd_raw_754_p","1",0.0555787472202943
"40","ksads_ptsd_raw_755_p","1",0.00795440194245503
"41","ksads_ptsd_raw_756_p","1",-0.0786025855048831
"42","ksads_ptsd_raw_757_p","1",0.042007745281858
"43","ksads_ptsd_raw_766_p","1",0.00723973531626942
"44","ksads_ptsd_raw_770_p","1",-0.0140275245419964
"45","parent_monitor_q1_y","1",0.32503179616901
"46","parent_monitor_q2_y","1",0.285796501984062
"47","parent_monitor_q3_y","1",0.268840421330473
"48","parent_monitor_q4_y","1",-0.371256366204892
"49","parent_monitor_q5_y","1",0.264797093434114
"50","nsc_p_ss_mean_3_items","1",0.0217099307724764
"51","neighborhood_crime_y","1",0.18743114502843
"52","reshist_addr1_adi_wsum","1",0.000428141647201528
"53","demo_prim_biosep","1",-0.063375554577538
"54","demo_parent_sep","1",0.0103771389901028
"55","ksads_ptsd_raw_758_759_760","1",-0.120727892011094
"56","ksads_ptsd_raw_761_to_765","1",-0.0469153041725579
"57","ksads_ptsd_raw_767_768_769","1",-0.0220943540275646
"58","demo_fam_exp1_5_v2","1",0.0209568010634753
"59","demo_fam_exp6_7_v2","1",0.0366402371295881
"60","famhx_ss_moth_prob_alc_dg","1",0.0106054195632074
"61","famhx_ss_fath_prob_alc_p","2",0.187613806256296
"62","famhx_ss_fath_prob_dg_p","2",0.266501125960195
"63","asr_scr_anxdisord_r","2",0.116249160040625
"64","asr_scr_somaticpr_r","2",0.169444422819916
"65","asr_scr_depress_r","2",0.0764564015052122
"66","asr_scr_avoidant_r","2",0.0494864711351473
"67","asr_scr_adhd_r","2",0.0398825773954326
"68","asr_scr_antisocial_r","2",0.133470840620727
"69","demo_prnt_ed_v2","2",0.729100642700893
"70","demo_comb_income_v2","2",0.905099047619957
"71","crpbi_parent1_y","2",-0.0436411669588731
"72","crpbi_caregiver12_y","2",-0.0180997210407385
"73","crpbi_parent2_y","2",0.0955688613266467
"74","crpbi_caregiver13_y","2",0.0536219773085507
"75","crpbi_parent3_y","2",-0.0171356135543627
"76","crpbi_caregiver14_y","2",0.00608807044424964
"77","crpbi_parent4_y","2",0.00415582051691511
"78","crpbi_caregiver15_y","2",0.0373576199517608
"79","crpbi_parent5_y","2",0.0062234309216411
"80","crpbi_caregiver16_y","2",-0.0152539152799949
"81","fes_youth_q1","2",0.0596691970076617
"82","fes_youth_q2","2",0.0656317175154848
"83","fes_youth_q3","2",0.158853608878434
"84","fes_youth_q4","2",-0.0179643443964491
"85","fes_youth_q5","2",0.0793278255873692
"86","fes_youth_q6","2",0.0627741417455828
"87","fes_youth_q7","2",0.0627058018251218
"88","fes_youth_q8","2",0.0797735956650016
"89","fes_youth_q9","2",-0.036913180599075
"90","fam_enviro1_p","2",-0.0358211674626664
"91","fam_enviro2r_p","2",-0.00566055657958168
"92","fam_enviro3_p","2",0.0837418650829285
"93","fam_enviro4r_p","2",0.00480687232532444
"94","fam_enviro5_p","2",0.107066710511618
"95","fam_enviro6_p","2",0.18148630716224
"96","fam_enviro7r_p","2",-0.00222946494687253
"97","fam_enviro8_p","2",0.217271187393303
"98","fam_enviro9r_p","2",-0.229623475544996
"99","ksads_ptsd_raw_754_p","2",0.148006027844777
"100","ksads_ptsd_raw_755_p","2",-0.0738462369138135
"101","ksads_ptsd_raw_756_p","2",0.0974350293916863
"102","ksads_ptsd_raw_757_p","2",-0.0549477211746306
"103","ksads_ptsd_raw_766_p","2",0.269705396729506
"104","ksads_ptsd_raw_770_p","2",0.156864517496458
"105","parent_monitor_q1_y","2",0.0963361319737904
"106","parent_monitor_q2_y","2",0.174820349073491
"107","parent_monitor_q3_y","2",0.0839037687315154
"108","parent_monitor_q4_y","2",0.072829767213591
"109","parent_monitor_q5_y","2",0.170786531992675
"110","nsc_p_ss_mean_3_items","2",0.423205082801581
"111","neighborhood_crime_y","2",0.316253332607077
"112","reshist_addr1_adi_wsum","2",0.442234924344892
"113","demo_prim_biosep","2",0.086698522200742
"114","demo_parent_sep","2",0.625733675222416
"115","ksads_ptsd_raw_758_759_760","2",0.318438043505572
"116","ksads_ptsd_raw_761_to_765","2",0.0896393064143501
"117","ksads_ptsd_raw_767_768_769","2",0.0310504788781806
"118","demo_fam_exp1_5_v2","2",0.666822772966242
"119","demo_fam_exp6_7_v2","2",0.462060614455074
"120","famhx_ss_moth_prob_alc_dg","2",0.154672548655532
"121","famhx_ss_fath_prob_alc_p","3",0.0971615985750869
"122","famhx_ss_fath_prob_dg_p","3",0.133368590927508
"123","asr_scr_anxdisord_r","3",0.0800538498107346
"124","asr_scr_somaticpr_r","3",0.183267857732069
"125","asr_scr_depress_r","3",0.183197770131349
"126","asr_scr_avoidant_r","3",0.125113188246436
"127","asr_scr_adhd_r","3",0.119396519310149
"128","asr_scr_antisocial_r","3",0.0982143535204219
"129","demo_prnt_ed_v2","3",0.0385236247028558
"130","demo_comb_income_v2","3",0.0577173168495728
"131","crpbi_parent1_y","3",-0.0882395937088758
"132","crpbi_caregiver12_y","3",0.0422201954945878
"133","crpbi_parent2_y","3",0.0043049777882584
"134","crpbi_caregiver13_y","3",0.0974952922493444
"135","crpbi_parent3_y","3",-0.0716965543475464
"136","crpbi_caregiver14_y","3",0.0620683651470922
"137","crpbi_parent4_y","3",-0.053014995598792
"138","crpbi_caregiver15_y","3",0.105676565018752
"139","crpbi_parent5_y","3",-0.00301024823929309
"140","crpbi_caregiver16_y","3",-0.0145720941390206
